"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","23/1023","105/9447",0.000707242727739662,0.00306987027209542,0.00170681526919564,"5894/5295/1959/8503/6237/4193/1960/4792/5602/801/5290/3592/5336/5293/5781/3725/3709/22800/4893/23365/5743/5970/5595",23
"hsa04150","Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","31/1023","158/9447",0.000710533772176389,0.00306987027209542,0.00170681526919564,"8325/5562/6009/9706/5894/5295/7855/5728/55437/6196/83667/2475/8503/79899/81929/3480/5290/8140/5604/6502/5293/6655/7472/8323/3667/81617/8322/4893/529/6446/5595",31
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","17/1023","69/9447",0.000859502129491058,0.00366648376757578,0.00203852603663436,"4128/90993/9586/5500/84152/815/5567/801/2892/3725/2890/3066/4129/814/1385/5499/64764",17
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","33/1023","174/9447",0.000903624214588635,0.00380651700395462,0.00211638302890496,"8325/896/9475/4609/23500/8313/7855/85407/5881/4088/23002/55366/284654/7088/815/5567/5602/2487/2239/5663/7472/8323/3725/27101/340419/8322/7090/23236/147495/166336/7157/27123/8454",33
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","40/1023","224/9447",0.000952109805255016,0.00396124696754247,0.00220241124542421,"90993/7048/9586/7094/896/4609/6722/5295/7042/1959/4088/6777/1030/5728/6776/196883/114/8503/7417/8498/1026/5567/4792/5602/890/1019/5290/5604/5293/2002/3725/1385/64764/6929/4893/7157/4801/4215/5970/5595",40
"hsa00410","Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","10/1023","31/9447",0.00111696785138964,0.00459046543802814,0.00255225003270032,"18/224/4329/219/23417/54498/35/218/339896/217",10
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","40/1023","226/9447",0.00113601271477224,0.00461248535997885,0.00256449287545286,"90993/9586/9475/488/5894/5500/5295/5881/476/196883/114/8503/84152/815/6237/5567/4792/5602/6093/801/5290/5604/2892/5293/6662/134/3725/2890/11149/64411/22800/814/1385/5499/64764/1129/2737/490/5970/5595",40
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","12/1023","42/9447",0.00123048950543426,0.00493660670632554,0.00274470090184584,"2180/6303/2730/3162/84557/7417/2512/10162/2879/9474/7157/4891",12
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","29/1023","150/9447",0.00132390948993096,0.00524891174243216,0.00291833918523481,"8325/7048/4616/4609/5894/5295/8313/7855/7042/4088/1030/2475/8503/1026/27006/3082/5290/5604/5293/6655/7472/8323/53358/8322/4893/2263/7157/5595/4292",29
"hsa05100","Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","18/1023","78/9447",0.00139006033764546,0.00544709690449442,0.00302852803061067,"1759/10092/10093/5295/60/8503/7414/23176/8936/5290/858/10096/5293/857/71/53358/10094/79658",18
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","15/1023","61/9447",0.00173611189563983,0.0067249391819612,0.00373899476616928,"4502/4501/26872/261729/4493/4499/476/3162/65010/2512/6546/538/1317/490/4891",15
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","27/1023","139/9447",0.00177886381940454,0.00681223985385601,0.00378753301260775,"2289/90993/9586/8202/5894/5295/3326/196883/3310/114/8503/5567/801/5290/5604/2852/5293/6655/53358/3725/3709/1385/64764/4893/23236/3320/5595",27
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","20/1023","93/9447",0.00194368446166703,0.0072780184842421,0.00404650098452317,"7048/10810/9475/5881/4088/10627/60/5818/81/7414/9411/6093/9855/3480/8936/10580/103910/57493/71/5595",20
"hsa04912","Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","20/1023","93/9447",0.00194368446166703,0.0072780184842421,0.00404650098452317,"5894/5321/196883/5598/114/815/5567/5602/801/5604/6655/2002/5606/3725/3709/4893/23236/4215/5595/2185",20
"hsa00330","Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","13/1023","50/9447",0.002020935989837,0.00748412558873702,0.00416109434576039,"4128/6303/5625/224/8659/6723/29920/219/54498/4129/1152/5831/217",13
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","36/1023","205/9447",0.00225506468946189,0.00826040000378977,0.00459269467647846,"4616/896/8819/4609/57506/5295/6774/3516/836/4939/8503/1026/4193/4792/5602/953/890/1019/29760/7128/5290/6502/7187/5336/5293/5714/5606/3725/3066/5705/1021/7157/4793/5970/5713/4940",36
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","17/1023","75/9447",0.00229275379558166,0.00830815085065611,0.00461924364022111,"672/5980/5295/836/4217/8503/1026/4193/2941/5290/5293/27113/538/1317/7157/5595/4292",17
"hsa04710","Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","10/1023","34/9447",0.00244365942882683,0.00876077901611323,0.00487090009329425,"5187/1628/5562/8863/4783/51422/9975/4862/1385/8454",10
"hsa04920","Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","16/1023","70/9447",0.00278523669973415,0.00988026071379378,0.00549332002828453,"8660/2180/5562/6774/51422/3952/2475/1374/4792/5602/7133/3717/5781/3667/4793/5970",16
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","42/1023","252/9447",0.00284464975886234,0.00998590592433969,0.00555205764339361,"1759/7048/10092/10093/9265/273/84440/4088/23327/11031/3310/3799/4193/9815/80223/116985/27183/28964/9727/3480/2869/858/137492/10096/857/375/381/6643/84552/64411/9829/27131/23362/10094/5156/6457/2263/2870/9525/112936/832/10938",42
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","13/1023","52/9447",0.00294854613044932,0.0102439179996023,0.00569550961714573,"7263/2730/4357/26227/6723/587/29968/23382/55256/27430/3939/113675/102724560",13
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","20/1023","97/9447",0.00327716742691114,0.0112694430905005,0.00626569067658628,"5187/8863/9252/59345/2790/196883/5592/114/5593/815/5567/801/2892/54331/2783/2890/1385/23236/51655/5595",20
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","12/1023","47/9447",0.00349815853012226,0.0118525858285462,0.00658991184595103,"224/125/84532/134526/219/1737/3939/4199/130/128/217/5162",12
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","35/1023","203/9447",0.00351708778295139,0.0118525858285462,0.00658991184595103,"9181/10810/10092/7277/9475/10093/5010/9265/7846/836/10381/60/4792/5602/6093/4641/10427/8936/10096/2768/26999/375/5781/71/4643/1902/3725/10376/23365/10787/10094/4793/5970/5595/8743",35
"hsa04070","Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","20/1023","98/9447",0.00370964534187407,0.0123777275268472,0.00688188505319005,"10423/3613/5295/64419/5728/8503/160851/9677/3632/801/5290/8760/5336/5293/3709/253430/3707/23236/8871/8525",20
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","21/1023","105/9447",0.00384163266881133,0.0125692253338778,0.00698835580018821,"338382/2309/10370/10241/7314/65018/84557/84749/6237/27342/79065/8878/5602/11345/22879/3725/22800/4893/7157/7942/5970",21
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","21/1023","105/9447",0.00384163266881133,0.0125692253338778,0.00698835580018821,"1277/1294/54407/1281/1282/1301/476/10008/1284/6510/1286/206358/1278/1298/1290/1289/6546/1285/1287/255631/50509",21
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","30/1023","168/9447",0.00391380321730427,0.0126822277329956,0.00705118393400971,"85480/896/4609/3976/5894/5295/6774/6777/3952/6776/4170/316/2475/8503/1026/8651/5290/5159/3717/5292/3592/5293/6655/5781/5154/9655/3459/5156/9180/3570",30
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","14/1023","60/9447",0.00409964417271047,0.0130337743981455,0.00724664014639983,"5894/5321/5295/5881/7422/8503/3315/5290/5604/5336/5293/4893/5743/5595",14
"hsa04730","Organismal Systems","Nervous system","hsa04730","Long-term depression","14/1023","60/9447",0.00409964417271047,0.0130337743981455,0.00724664014639983,"5894/5321/5592/5593/5516/3480/5604/2892/2768/2890/3709/4893/23236/5595",14
"hsa04720","Organismal Systems","Nervous system","hsa04720","Long-term potentiation","15/1023","67/9447",0.00459035173600741,0.0144574629442476,0.00803819585842911,"5894/5500/6196/114/815/5567/801/5604/2890/3709/814/5499/4893/23236/5595",15
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","12/1023","49/9447",0.00504459744447222,0.0156800583492082,0.00871794591959724,"4128/90993/9586/84152/5567/3725/26086/1742/4129/1385/64764/5970",12
"hsa00770","Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","7/1023","21/9447",0.00507159157288929,0.0156800583492082,0.00871794591959724,"224/587/219/80347/339896/5167/217",7
"hsa04960","Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","10/1023","38/9447",0.00590708294676233,0.0180971541187173,0.0100618254978344,"5295/23327/476/8503/5290/5293/3667/4306/6446/5595",10
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","28/1023","159/9447",0.00633071871981977,0.0192202901673807,0.0106862772131619,"8837/4609/57506/5894/5010/5295/6774/836/4939/8503/3434/1026/4792/1019/5516/5290/5604/7187/5293/6655/10197/4893/1021/7157/5970/7529/5595/4940",28
"hsa00564","Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","20/1023","103/9447",0.00664524512525617,0.0198250677037892,0.0110225271006543,"10423/5833/5321/10555/8613/54675/151056/160851/8611/142891/8760/84803/23761/10162/196051/253558/166929/9791/129642/8525",20
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","25/1023","138/9447",0.00664757463064743,0.0198250677037892,0.0110225271006543,"10092/9475/64283/10093/5295/5881/6196/60/8503/9815/4792/5602/6093/5290/5604/10096/5293/5606/71/3725/23365/10094/5970/5595/2185",25
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","21/1023","110/9447",0.00672277164982802,0.0198734565437899,0.0110494307818041,"5295/6774/3162/2475/7422/8503/815/1026/3480/5290/5604/5336/3939/5293/2034/3459/3570/5970/6921/5595/5162",21
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","25/1023","139/9447",0.00729782762908047,0.0213858079217402,0.0118902820867398,"896/57506/5295/6774/6777/6776/836/3310/4939/8503/4792/5602/1019/7128/5290/7187/3592/5293/3725/27113/1021/7157/4793/5970/4940",25
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","27/1023","154/9447",0.00769808221729864,0.0223642560968073,0.0124342888809361,"783/90993/9586/147/488/9252/5500/6324/7171/476/196883/114/815/5567/5516/801/6332/7169/11149/6546/7139/1385/5499/64764/23236/490/5595",27
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","19/1023","98/9447",0.00816936527822354,0.023530564946678,0.0130827442152388,"90993/9586/3164/476/5581/5587/196883/114/57118/815/5567/801/3709/814/1385/64764/23236/747/490",19
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","20/1023","105/9447",0.0082559099998968,0.0235783192369934,0.0131092950935025,"783/3908/488/7171/7042/8515/6444/196883/60/114/5567/3673/1837/3696/7169/71/6443/8516/6546/7139",20
"hsa00561","Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","14/1023","65/9447",0.00865366312230895,0.0245065922035136,0.0136254050046085,"57104/224/10555/8613/160851/8611/219/84803/196051/253558/3990/129642/217/8525",14
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","19/1023","99/9447",0.00911480181489577,0.025597401763499,0.014231883535539,"783/5562/3908/488/7171/7042/8515/51422/6444/60/3673/1837/3696/7169/71/6443/8516/6546/7139",19
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","40/1023","254/9447",0.00939693910221879,0.0261716403094854,0.0145511540686816,"147/488/624/2668/623/5027/3269/196883/7422/114/57620/57118/815/7417/5567/56034/27006/3082/801/5159/219931/845/5336/5255/5154/3709/6546/3707/814/7424/1129/444/23236/5156/5737/2263/4803/7942/490/2185",40
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","11/1023","47/9447",0.0101551527964539,0.0278286514148784,0.0154724346457859,"8660/5295/5581/2475/8503/5602/8651/5290/5293/3667/5595",11
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","35/1023","217/9447",0.0101570448784274,0.0278286514148784,0.0154724346457859,"90993/9586/896/4609/5894/604/5295/3326/6774/6777/6776/688/6196/196883/2475/7422/114/8503/182/5567/2941/27006/5290/5604/3717/5293/6655/3725/1385/64764/4893/54567/5970/3320/5595",35
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","10/1023","41/9447",0.0103952097130353,0.0282514973652653,0.0157075325035678,"4128/6470/6472/26227/29968/23464/113675/4129/102724560/55349",10
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","21/1023","115/9447",0.0111712978838587,0.0301178190948831,0.0167451875648577,"90993/9586/9943/5894/196883/114/11214/1026/5567/4324/5604/2768/1591/4205/3709/1385/64764/23236/6446/5595/4209",21
"hsa00280","Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","11/1023","48/9447",0.0119211894467297,0.031884451139269,0.0177274162198653,"18/224/4329/316/587/219/5019/35/56922/3157/217",11
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","13/1023","62/9447",0.0139813345324989,0.0371000766728513,0.0206272486264799,"3516/7088/23013/182/3955/5663/3066/6868/7090/342371/4851/54567/3714",13
"hsa00071","Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","10/1023","43/9447",0.0145821403380262,0.0381613652072536,0.0212173137807001,"2180/224/125/1374/219/35/10455/130/128/217",10
"hsa04664","Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","14/1023","69/9447",0.014607762942836,0.0381613652072536,0.0212173137807001,"5894/5321/5295/5881/8503/5602/5290/5604/5336/5293/6655/5606/4893/5595",14
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","9/1023","37/9447",0.0149990515781368,0.0388821567833239,0.0216180662421729,"4128/125/316/2184/4129/218/130/128/2954",9
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","23/1023","133/9447",0.0154614094705351,0.0397747709280177,0.0221143502270409,"4128/90993/9586/59345/5500/2790/84152/815/3799/5567/5602/5516/801/2892/54331/2783/2890/3709/4129/1385/5499/64764/23236",23
"hsa00920","Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","4/1023","10/9447",0.0168052862929265,0.0429044051569411,0.0238543936215384,"7263/58472/4357/8991",4
"hsa05110","Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","11/1023","51/9447",0.0186326531382041,0.0472120609592089,0.0262494045002005,"9414/60/9114/5567/5336/375/71/10312/29927/55176/529",11
"hsa00562","Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","15/1023","78/9447",0.018846469829658,0.0473974651686174,0.0263524872716348,"10423/3613/64419/4329/5728/9677/3632/5290/51763/5336/5293/253430/3707/23236/8871",15
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","24/1023","143/9447",0.0191739929950282,0.0478639676987001,0.0266118577240938,"7048/488/5295/7042/8503/4982/4792/8878/5602/29760/8651/5468/5290/5604/5336/5293/3725/3709/814/1385/3459/5970/5595/1435",24
